datasetid,splitid,modelname,k,n_test,n_clean,n_imputed,residual_alerts_total,residual_alerts_clean,residual_alerts_imputed,residual_alert_rate_total,residual_alert_rate_clean,residual_alert_rate_imputed,residual_ratio_alerts_imputed_to_clean,raw_alerts_total,raw_alerts_clean,raw_alerts_imputed,raw_alert_rate_total,raw_alert_rate_clean,raw_alert_rate_imputed,raw_ratio_alerts_imputed_to_clean,residual_over_raw_rate_clean
A1,roll_01,mlr,3,167,156,11,10,10,0,0.059880239520958084,0.0641025641025641,0.0,0.0,8,8,0,0.04790419161676647,0.05128205128205128,0.0,0.0,1.25
A1,roll_01,mlr,4,167,156,11,4,4,0,0.023952095808383235,0.02564102564102564,0.0,0.0,4,4,0,0.023952095808383235,0.02564102564102564,0.0,0.0,1.0
A1,roll_01,mlr,5,167,156,11,1,1,0,0.005988023952095809,0.00641025641025641,0.0,0.0,3,3,0,0.017964071856287425,0.019230769230769232,0.0,0.0,0.3333333333333333
A1,roll_01,mlr,6,167,156,11,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_01,mlr,7,167,156,11,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_01,mlr,8,167,156,11,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_01,mlr,9,167,156,11,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_01,mlr,10,167,156,11,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_01,mlr,11,167,156,11,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_01,mlr,12,167,156,11,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_01,mlr,13,167,156,11,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_01,mlr,14,167,156,11,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_01,mlr,15,167,156,11,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_01,persistence,3,167,156,11,40,40,0,0.23952095808383234,0.2564102564102564,0.0,0.0,6,6,0,0.03592814371257485,0.038461538461538464,0.0,0.0,6.666666666666666
A1,roll_01,persistence,4,167,156,11,27,27,0,0.16167664670658682,0.17307692307692307,0.0,0.0,3,3,0,0.017964071856287425,0.019230769230769232,0.0,0.0,9.0
A1,roll_01,persistence,5,167,156,11,11,11,0,0.0658682634730539,0.07051282051282051,0.0,0.0,1,1,0,0.005988023952095809,0.00641025641025641,0.0,0.0,11.0
A1,roll_01,persistence,6,167,156,11,5,5,0,0.029940119760479042,0.03205128205128205,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_01,persistence,7,167,156,11,1,1,0,0.005988023952095809,0.00641025641025641,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_01,persistence,8,167,156,11,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_01,persistence,9,167,156,11,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_01,persistence,10,167,156,11,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_01,persistence,11,167,156,11,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_01,persistence,12,167,156,11,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_01,persistence,13,167,156,11,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
