split_id,dataset_id,path,n_rows,sum_flag_demand_imputed,sum_flag_pv_imputed,sum_flag_pool_imputed,sum_flag_temp_imputed,sum_imputed_any,sum_imputed_count,imputed_any_or_ok,imputed_count_sum_ok,clean_only_expected,clean_only_ok,manifest_expected_rows,manifest_rows_match
roll_01,A1,datasets_by_split\roll_01\A1.csv,839,0,156,0,0,156,156,1,1,keep-imputed dataset: no all-zero requirement,1,,
roll_01,A2,datasets_by_split\roll_01\A2.csv,839,0,156,0,0,156,156,1,1,demand-only clean-only: flag_demand_imputed all-zero,1,,
roll_01,A3,datasets_by_split\roll_01\A3.csv,839,0,156,0,0,156,156,1,1,keep-imputed dataset: no all-zero requirement,1,,
roll_01,A4,datasets_by_split\roll_01\A4.csv,520,0,0,0,0,0,0,1,1,telemetry clean-only: all flag_*_imputed all-zero,1,,
roll_01,B1,datasets_by_split\roll_01\B1.csv,839,0,156,0,0,156,156,1,1,keep-imputed dataset: no all-zero requirement,1,,
roll_01,B2,datasets_by_split\roll_01\B2.csv,839,0,156,0,0,156,156,1,1,demand-only clean-only: flag_demand_imputed all-zero,1,,
roll_01,B3,datasets_by_split\roll_01\B3.csv,839,0,156,0,0,156,156,1,1,keep-imputed dataset: no all-zero requirement,1,,
roll_01,B4,datasets_by_split\roll_01\B4.csv,520,0,0,0,0,0,0,1,1,telemetry clean-only: all flag_*_imputed all-zero,1,,
roll_02,A1,datasets_by_split\roll_02\A1.csv,1007,0,170,0,0,170,170,1,1,keep-imputed dataset: no all-zero requirement,1,,
roll_02,A2,datasets_by_split\roll_02\A2.csv,1007,0,170,0,0,170,170,1,1,demand-only clean-only: flag_demand_imputed all-zero,1,,
roll_02,A3,datasets_by_split\roll_02\A3.csv,1007,0,170,0,0,170,170,1,1,keep-imputed dataset: no all-zero requirement,1,,
roll_02,A4,datasets_by_split\roll_02\A4.csv,659,0,0,0,0,0,0,1,1,telemetry clean-only: all flag_*_imputed all-zero,1,,
roll_02,B1,datasets_by_split\roll_02\B1.csv,1007,0,170,0,0,170,170,1,1,keep-imputed dataset: no all-zero requirement,1,,
roll_02,B2,datasets_by_split\roll_02\B2.csv,1007,0,170,0,0,170,170,1,1,demand-only clean-only: flag_demand_imputed all-zero,1,,
roll_02,B3,datasets_by_split\roll_02\B3.csv,1007,0,170,0,0,170,170,1,1,keep-imputed dataset: no all-zero requirement,1,,
roll_02,B4,datasets_by_split\roll_02\B4.csv,659,0,0,0,0,0,0,1,1,telemetry clean-only: all flag_*_imputed all-zero,1,,
roll_03,A1,datasets_by_split\roll_03\A1.csv,1175,0,191,0,0,191,191,1,1,keep-imputed dataset: no all-zero requirement,1,,
roll_03,A2,datasets_by_split\roll_03\A2.csv,1175,0,191,0,0,191,191,1,1,demand-only clean-only: flag_demand_imputed all-zero,1,,
roll_03,A3,datasets_by_split\roll_03\A3.csv,1175,0,191,0,0,191,191,1,1,keep-imputed dataset: no all-zero requirement,1,,
roll_03,A4,datasets_by_split\roll_03\A4.csv,783,0,0,0,0,0,0,1,1,telemetry clean-only: all flag_*_imputed all-zero,1,,
roll_03,B1,datasets_by_split\roll_03\B1.csv,1175,0,191,0,0,191,191,1,1,keep-imputed dataset: no all-zero requirement,1,,
roll_03,B2,datasets_by_split\roll_03\B2.csv,1175,0,191,0,0,191,191,1,1,demand-only clean-only: flag_demand_imputed all-zero,1,,
roll_03,B3,datasets_by_split\roll_03\B3.csv,1175,0,191,0,0,191,191,1,1,keep-imputed dataset: no all-zero requirement,1,,
roll_03,B4,datasets_by_split\roll_03\B4.csv,783,0,0,0,0,0,0,1,1,telemetry clean-only: all flag_*_imputed all-zero,1,,
roll_04,A1,datasets_by_split\roll_04\A1.csv,1343,8,233,8,10,235,259,1,1,keep-imputed dataset: no all-zero requirement,1,,
roll_04,A2,datasets_by_split\roll_04\A2.csv,1326,0,218,0,1,219,219,1,1,demand-only clean-only: flag_demand_imputed all-zero,1,,
roll_04,A3,datasets_by_split\roll_04\A3.csv,1343,8,233,8,10,235,259,1,1,keep-imputed dataset: no all-zero requirement,1,,
roll_04,A4,datasets_by_split\roll_04\A4.csv,880,0,0,0,0,0,0,1,1,telemetry clean-only: all flag_*_imputed all-zero,1,,
roll_04,B1,datasets_by_split\roll_04\B1.csv,1343,8,233,8,10,235,259,1,1,keep-imputed dataset: no all-zero requirement,1,,
roll_04,B2,datasets_by_split\roll_04\B2.csv,1326,0,218,0,1,219,219,1,1,demand-only clean-only: flag_demand_imputed all-zero,1,,
roll_04,B3,datasets_by_split\roll_04\B3.csv,1343,8,233,8,10,235,259,1,1,keep-imputed dataset: no all-zero requirement,1,,
roll_04,B4,datasets_by_split\roll_04\B4.csv,880,0,0,0,0,0,0,1,1,telemetry clean-only: all flag_*_imputed all-zero,1,,
