datasetid,splitid,modelname,detector,k,slicename,slicevalue,nrows,nalerts,alert_rate
A1,roll_01,mlr,raw,3,gaplendemandbin,0,167,8,0.04790419161676647
A1,roll_01,mlr,raw,3,gaplenpoolbin,0,167,8,0.04790419161676647
A1,roll_01,mlr,raw,3,gaplenpvbin,0,156,8,0.05128205128205128
A1,roll_01,mlr,raw,3,gaplenpvbin,2,11,0,0.0
A1,roll_01,mlr,raw,3,gaplentempbin,0,167,8,0.04790419161676647
A1,roll_01,mlr,raw,3,imputed_any,0,156,8,0.05128205128205128
A1,roll_01,mlr,raw,3,imputed_any,1,11,0,0.0
A1,roll_01,mlr,raw,3,overall,ALL,167,8,0.04790419161676647
A1,roll_01,mlr,raw,4,gaplendemandbin,0,167,4,0.023952095808383235
A1,roll_01,mlr,raw,4,gaplenpoolbin,0,167,4,0.023952095808383235
A1,roll_01,mlr,raw,4,gaplenpvbin,0,156,4,0.02564102564102564
A1,roll_01,mlr,raw,4,gaplenpvbin,2,11,0,0.0
A1,roll_01,mlr,raw,4,gaplentempbin,0,167,4,0.023952095808383235
A1,roll_01,mlr,raw,4,imputed_any,0,156,4,0.02564102564102564
A1,roll_01,mlr,raw,4,imputed_any,1,11,0,0.0
A1,roll_01,mlr,raw,4,overall,ALL,167,4,0.023952095808383235
A1,roll_01,mlr,raw,5,gaplendemandbin,0,167,3,0.017964071856287425
A1,roll_01,mlr,raw,5,gaplenpoolbin,0,167,3,0.017964071856287425
A1,roll_01,mlr,raw,5,gaplenpvbin,0,156,3,0.019230769230769232
A1,roll_01,mlr,raw,5,gaplenpvbin,2,11,0,0.0
A1,roll_01,mlr,raw,5,gaplentempbin,0,167,3,0.017964071856287425
A1,roll_01,mlr,raw,5,imputed_any,0,156,3,0.019230769230769232
A1,roll_01,mlr,raw,5,imputed_any,1,11,0,0.0
A1,roll_01,mlr,raw,5,overall,ALL,167,3,0.017964071856287425
A1,roll_01,mlr,raw,6,gaplendemandbin,0,167,0,0.0
A1,roll_01,mlr,raw,6,gaplenpoolbin,0,167,0,0.0
A1,roll_01,mlr,raw,6,gaplenpvbin,0,156,0,0.0
A1,roll_01,mlr,raw,6,gaplenpvbin,2,11,0,0.0
A1,roll_01,mlr,raw,6,gaplentempbin,0,167,0,0.0
A1,roll_01,mlr,raw,6,imputed_any,0,156,0,0.0
A1,roll_01,mlr,raw,6,imputed_any,1,11,0,0.0
A1,roll_01,mlr,raw,6,overall,ALL,167,0,0.0
A1,roll_01,mlr,raw,7,gaplendemandbin,0,167,0,0.0
