datasetid,splitid,modelname,slicename,slicevalue,nrows,mae,rmse,mape,intersection,intersectionnrows
A1,roll_01,mlr,flag_demand_imputed,0,127,493.4045039034738,641.901578514054,47.612126813400195,A1..B4_by_ts_target_utc,127
A1,roll_01,mlr,flag_pool_imputed,0,127,493.4045039034738,641.901578514054,47.612126813400195,A1..B4_by_ts_target_utc,127
A1,roll_01,mlr,flag_pv_imputed,0,127,493.4045039034738,641.901578514054,47.612126813400195,A1..B4_by_ts_target_utc,127
A1,roll_01,mlr,flag_temp_imputed,0,127,493.4045039034738,641.901578514054,47.612126813400195,A1..B4_by_ts_target_utc,127
A1,roll_01,mlr,gaplendemandbin,0,127,493.4045039034738,641.901578514054,47.612126813400195,A1..B4_by_ts_target_utc,127
A1,roll_01,mlr,gaplenpoolbin,0,127,493.4045039034738,641.901578514054,47.612126813400195,A1..B4_by_ts_target_utc,127
A1,roll_01,mlr,gaplenpvbin,0,127,493.4045039034738,641.901578514054,47.612126813400195,A1..B4_by_ts_target_utc,127
A1,roll_01,mlr,gaplentempbin,0,127,493.4045039034738,641.901578514054,47.612126813400195,A1..B4_by_ts_target_utc,127
A1,roll_01,mlr,imputed_any,0,127,493.4045039034738,641.901578514054,47.612126813400195,A1..B4_by_ts_target_utc,127
A1,roll_01,mlr,imputed_count,0,127,493.4045039034738,641.901578514054,47.612126813400195,A1..B4_by_ts_target_utc,127
A1,roll_01,mlr,is_daylight,0,64,470.2029570843078,604.1698725981164,41.33916668555112,A1..B4_by_ts_target_utc,127
A1,roll_01,mlr,is_daylight,1,63,516.9743292435791,678.0857837548565,53.98465773692944,A1..B4_by_ts_target_utc,127
A1,roll_01,mlr,overall,ALL,127,493.4045039034738,641.901578514054,47.612126813400195,A1..B4_by_ts_target_utc,127
A1,roll_01,mlr,pool_on,0,127,493.4045039034738,641.901578514054,47.612126813400195,A1..B4_by_ts_target_utc,127
A1,roll_01,mlr,pool_switch,0,127,493.4045039034738,641.901578514054,47.612126813400195,A1..B4_by_ts_target_utc,127
A1,roll_01,mlr,pv_regime,high,2,912.9047279442259,992.6062683871796,195.64685487081212,A1..B4_by_ts_target_utc,127
A1,roll_01,mlr,pv_regime,low,41,527.1473055231606,674.9625032819525,56.45525933853831,A1..B4_by_ts_target_utc,127
A1,roll_01,mlr,pv_regime,med,4,899.9293180977706,1084.4596434480902,103.07681250563736,A1..B4_by_ts_target_utc,127
A1,roll_01,mlr,pv_regime,night,80,445.29757176265065,580.6837019830207,36.60591890821977,A1..B4_by_ts_target_utc,127
A1,roll_01,mlr,temp_bin,0,3,1053.0627544919062,1115.440728606771,24.15367240824221,A1..B4_by_ts_target_utc,127
A1,roll_01,mlr,temp_bin,1,19,486.91050845678546,654.3230857935052,59.03006146797113,A1..B4_by_ts_target_utc,127
A1,roll_01,mlr,temp_bin,2,97,482.8840322398714,626.382884767873,46.771759464602624,A1..B4_by_ts_target_utc,127
A1,roll_01,mlr,temp_bin,3,8,426.5166180398755,548.0687900233536,39.480906514899104,A1..B4_by_ts_target_utc,127
A1,roll_01,persistence,flag_demand_imputed,0,127,539.4853657660749,725.1785567721017,49.78550559091813,A1..B4_by_ts_target_utc,127
A1,roll_01,persistence,flag_pool_imputed,0,127,539.4853657660749,725.1785567721017,49.78550559091813,A1..B4_by_ts_target_utc,127
A1,roll_01,persistence,flag_pv_imputed,0,127,539.4853657660749,725.1785567721017,49.78550559091813,A1..B4_by_ts_target_utc,127
A1,roll_01,persistence,flag_temp_imputed,0,127,539.4853657660749,725.1785567721017,49.78550559091813,A1..B4_by_ts_target_utc,127
A1,roll_01,persistence,gaplendemandbin,0,127,539.4853657660749,725.1785567721017,49.78550559091813,A1..B4_by_ts_target_utc,127
A1,roll_01,persistence,gaplenpoolbin,0,127,539.4853657660749,725.1785567721017,49.78550559091813,A1..B4_by_ts_target_utc,127
A1,roll_01,persistence,gaplenpvbin,0,127,539.4853657660749,725.1785567721017,49.78550559091813,A1..B4_by_ts_target_utc,127
A1,roll_01,persistence,gaplentempbin,0,127,539.4853657660749,725.1785567721017,49.78550559091813,A1..B4_by_ts_target_utc,127
A1,roll_01,persistence,imputed_any,0,127,539.4853657660749,725.1785567721017,49.78550559091813,A1..B4_by_ts_target_utc,127
A1,roll_01,persistence,imputed_count,0,127,539.4853657660749,725.1785567721017,49.78550559091813,A1..B4_by_ts_target_utc,127
