datasetid,splitid,modelname,slicename,slicevalue,nrows,mae,rmse,mape
A1,roll_01,mlr,flag_demand_imputed,0,167,468.36774158922765,602.0172074278111,50.67097766965289
A1,roll_01,mlr,flag_pool_imputed,0,167,468.36774158922765,602.0172074278111,50.67097766965289
A1,roll_01,mlr,flag_pv_imputed,0,156,474.6816105864782,612.6890633316,47.57869554762702
A1,roll_01,mlr,flag_pv_imputed,1,11,378.8255994464023,422.5912847768827,94.52516049111071
A1,roll_01,mlr,flag_temp_imputed,0,167,468.36774158922765,602.0172074278111,50.67097766965289
A1,roll_01,mlr,gaplendemandbin,0,167,468.36774158922765,602.0172074278111,50.67097766965289
A1,roll_01,mlr,gaplenpoolbin,0,167,468.36774158922765,602.0172074278111,50.67097766965289
A1,roll_01,mlr,gaplenpvbin,0,156,474.6816105864782,612.6890633316,47.57869554762702
A1,roll_01,mlr,gaplenpvbin,2,11,378.8255994464023,422.5912847768827,94.52516049111071
A1,roll_01,mlr,gaplentempbin,0,167,468.36774158922765,602.0172074278111,50.67097766965289
A1,roll_01,mlr,imputed_any,0,156,474.6816105864782,612.6890633316,47.57869554762702
A1,roll_01,mlr,imputed_any,1,11,378.8255994464023,422.5912847768827,94.52516049111071
A1,roll_01,mlr,imputed_count,0,156,474.6816105864782,612.6890633316,47.57869554762702
A1,roll_01,mlr,imputed_count,1,11,378.8255994464023,422.5912847768827,94.52516049111071
A1,roll_01,mlr,is_daylight,0,104,438.92336637553404,550.8516755052813,48.663652244283455
A1,roll_01,mlr,is_daylight,1,63,516.9743292435791,678.0857837548565,53.98465773692944
A1,roll_01,mlr,overall,ALL,167,468.36774158922765,602.0172074278111,50.67097766965289
A1,roll_01,mlr,pool_on,0,167,468.36774158922765,602.0172074278111,50.67097766965289
A1,roll_01,mlr,pool_switch,0,167,468.36774158922765,602.0172074278111,50.67097766965289
A1,roll_01,mlr,pv_regime,high,2,912.9047279442259,992.6062683871796,195.64685487081212
A1,roll_01,mlr,pv_regime,low,41,527.1473055231606,674.9625032819525,56.45525933853831
A1,roll_01,mlr,pv_regime,med,4,899.9293180977706,1084.4596434480902,103.07681250563736
A1,roll_01,mlr,pv_regime,night,120,426.4903882555991,541.3842829350175,44.53155565156491
A1,roll_01,mlr,temp_bin,0,5,670.2935954707293,866.1539330813584,16.030652800890387
A1,roll_01,mlr,temp_bin,1,33,476.7581384059416,600.1876976082067,65.0066192217126
A1,roll_01,mlr,temp_bin,2,121,460.50242443249823,592.5386311422822,48.93251504456093
A1,roll_01,mlr,temp_bin,3,8,426.5166180398755,548.0687900233536,39.480906514899104
A1,roll_01,persistence,flag_demand_imputed,0,167,464.1098865162338,662.8558903706465,42.03532246680279
A1,roll_01,persistence,flag_pool_imputed,0,167,464.1098865162338,662.8558903706465,42.03532246680279
A1,roll_01,persistence,flag_pv_imputed,0,156,490.78932888429944,683.6269954286873,44.151200425750204
A1,roll_01,persistence,flag_pv_imputed,1,11,85.74688566003117,206.74072443569256,12.028325958094042
A1,roll_01,persistence,flag_temp_imputed,0,167,464.1098865162338,662.8558903706465,42.03532246680279
A1,roll_01,persistence,gaplendemandbin,0,167,464.1098865162338,662.8558903706465,42.03532246680279
A1,roll_01,persistence,gaplenpoolbin,0,167,464.1098865162338,662.8558903706465,42.03532246680279
A1,roll_01,persistence,gaplenpvbin,0,156,490.78932888429944,683.6269954286873,44.151200425750204
A1,roll_01,persistence,gaplenpvbin,2,11,85.74688566003117,206.74072443569256,12.028325958094042
A1,roll_01,persistence,gaplentempbin,0,167,464.1098865162338,662.8558903706465,42.03532246680279
A1,roll_01,persistence,imputed_any,0,156,490.78932888429944,683.6269954286873,44.151200425750204
A1,roll_01,persistence,imputed_any,1,11,85.74688566003117,206.74072443569256,12.028325958094042
A1,roll_01,persistence,imputed_count,0,156,490.78932888429944,683.6269954286873,44.151200425750204
A1,roll_01,persistence,imputed_count,1,11,85.74688566003117,206.74072443569256,12.028325958094042
A1,roll_01,persistence,is_daylight,0,104,388.88039874500294,571.1368947815705,32.12345402138584
A1,roll_01,persistence,is_daylight,1,63,588.2982472814404,791.3379254815911,58.39777196399901
A1,roll_01,persistence,overall,ALL,167,464.1098865162338,662.8558903706465,42.03532246680279
A1,roll_01,persistence,pool_on,0,167,464.1098865162338,662.8558903706465,42.03532246680279
A1,roll_01,persistence,pool_switch,0,167,464.1098865162338,662.8558903706465,42.03532246680279
A1,roll_01,persistence,pv_regime,high,2,584.256472315625,750.1262088915489,133.92502136723658
A1,roll_01,persistence,pv_regime,low,41,611.6269766379464,790.4070281572045,63.376476480707545
