dataset_id,split_id,model_name,K,n_test,n_anom_resid,rate_anom_resid,n_anom_raw,rate_anom_raw
A1,roll_01,mlr,3,167,10,0.059880239520958084,8,0.04790419161676647
A1,roll_01,mlr,4,167,4,0.023952095808383235,4,0.023952095808383235
A1,roll_01,mlr,5,167,1,0.005988023952095809,3,0.017964071856287425
A1,roll_01,mlr,6,167,0,0.0,0,0.0
A1,roll_01,mlr,7,167,0,0.0,0,0.0
A1,roll_01,mlr,8,167,0,0.0,0,0.0
A1,roll_01,mlr,9,167,0,0.0,0,0.0
A1,roll_01,mlr,10,167,0,0.0,0,0.0
A1,roll_01,mlr,11,167,0,0.0,0,0.0
A1,roll_01,mlr,12,167,0,0.0,0,0.0
A1,roll_01,mlr,13,167,0,0.0,0,0.0
A1,roll_01,mlr,14,167,0,0.0,0,0.0
A1,roll_01,mlr,15,167,0,0.0,0,0.0
A1,roll_01,persistence,3,167,40,0.23952095808383234,6,0.03592814371257485
A1,roll_01,persistence,4,167,27,0.16167664670658682,3,0.017964071856287425
A1,roll_01,persistence,5,167,11,0.0658682634730539,1,0.005988023952095809
A1,roll_01,persistence,6,167,5,0.029940119760479042,0,0.0
A1,roll_01,persistence,7,167,1,0.005988023952095809,0,0.0
A1,roll_01,persistence,8,167,0,0.0,0,0.0
A1,roll_01,persistence,9,167,0,0.0,0,0.0
A1,roll_01,persistence,10,167,0,0.0,0,0.0
A1,roll_01,persistence,11,167,0,0.0,0,0.0
A1,roll_01,persistence,12,167,0,0.0,0,0.0
A1,roll_01,persistence,13,167,0,0.0,0,0.0
A1,roll_01,persistence,14,167,0,0.0,0,0.0
A1,roll_01,persistence,15,167,0,0.0,0,0.0
A1,roll_01,rf,3,167,4,0.023952095808383235,8,0.04790419161676647
A1,roll_01,rf,4,167,0,0.0,4,0.023952095808383235
A1,roll_01,rf,5,167,0,0.0,3,0.017964071856287425
A1,roll_01,rf,6,167,0,0.0,0,0.0
A1,roll_01,rf,7,167,0,0.0,0,0.0
A1,roll_01,rf,8,167,0,0.0,0,0.0
A1,roll_01,rf,9,167,0,0.0,0,0.0
A1,roll_01,rf,10,167,0,0.0,0,0.0
A1,roll_01,rf,11,167,0,0.0,0,0.0
A1,roll_01,rf,12,167,0,0.0,0,0.0
A1,roll_01,rf,13,167,0,0.0,0,0.0
A1,roll_01,rf,14,167,0,0.0,0,0.0
A1,roll_01,rf,15,167,0,0.0,0,0.0
A2,roll_01,mlr,3,167,10,0.059880239520958084,8,0.04790419161676647
A2,roll_01,mlr,4,167,4,0.023952095808383235,4,0.023952095808383235
A2,roll_01,mlr,5,167,1,0.005988023952095809,3,0.017964071856287425
A2,roll_01,mlr,6,167,0,0.0,0,0.0
A2,roll_01,mlr,7,167,0,0.0,0,0.0
A2,roll_01,mlr,8,167,0,0.0,0,0.0
A2,roll_01,mlr,9,167,0,0.0,0,0.0
A2,roll_01,mlr,10,167,0,0.0,0,0.0
A2,roll_01,mlr,11,167,0,0.0,0,0.0
A2,roll_01,mlr,12,167,0,0.0,0,0.0
A2,roll_01,mlr,13,167,0,0.0,0,0.0
A2,roll_01,mlr,14,167,0,0.0,0,0.0
A2,roll_01,mlr,15,167,0,0.0,0,0.0
A2,roll_01,persistence,3,167,40,0.23952095808383234,6,0.03592814371257485
A2,roll_01,persistence,4,167,27,0.16167664670658682,3,0.017964071856287425
A2,roll_01,persistence,5,167,11,0.0658682634730539,1,0.005988023952095809
A2,roll_01,persistence,6,167,5,0.029940119760479042,0,0.0
A2,roll_01,persistence,7,167,1,0.005988023952095809,0,0.0
A2,roll_01,persistence,8,167,0,0.0,0,0.0
A2,roll_01,persistence,9,167,0,0.0,0,0.0
A2,roll_01,persistence,10,167,0,0.0,0,0.0
A2,roll_01,persistence,11,167,0,0.0,0,0.0
A2,roll_01,persistence,12,167,0,0.0,0,0.0
A2,roll_01,persistence,13,167,0,0.0,0,0.0
A2,roll_01,persistence,14,167,0,0.0,0,0.0
A2,roll_01,persistence,15,167,0,0.0,0,0.0
A2,roll_01,rf,3,167,3,0.017964071856287425,8,0.04790419161676647
A2,roll_01,rf,4,167,0,0.0,4,0.023952095808383235
A2,roll_01,rf,5,167,0,0.0,3,0.017964071856287425
A2,roll_01,rf,6,167,0,0.0,0,0.0
A2,roll_01,rf,7,167,0,0.0,0,0.0
A2,roll_01,rf,8,167,0,0.0,0,0.0
A2,roll_01,rf,9,167,0,0.0,0,0.0
A2,roll_01,rf,10,167,0,0.0,0,0.0
A2,roll_01,rf,11,167,0,0.0,0,0.0
A2,roll_01,rf,12,167,0,0.0,0,0.0
A2,roll_01,rf,13,167,0,0.0,0,0.0
A2,roll_01,rf,14,167,0,0.0,0,0.0
A2,roll_01,rf,15,167,0,0.0,0,0.0
A3,roll_01,mlr,3,167,8,0.04790419161676647,8,0.04790419161676647
A3,roll_01,mlr,4,167,1,0.005988023952095809,4,0.023952095808383235
A3,roll_01,mlr,5,167,0,0.0,3,0.017964071856287425
A3,roll_01,mlr,6,167,0,0.0,0,0.0
A3,roll_01,mlr,7,167,0,0.0,0,0.0
A3,roll_01,mlr,8,167,0,0.0,0,0.0
A3,roll_01,mlr,9,167,0,0.0,0,0.0
A3,roll_01,mlr,10,167,0,0.0,0,0.0
A3,roll_01,mlr,11,167,0,0.0,0,0.0
A3,roll_01,mlr,12,167,0,0.0,0,0.0
A3,roll_01,mlr,13,167,0,0.0,0,0.0
A3,roll_01,mlr,14,167,0,0.0,0,0.0
A3,roll_01,mlr,15,167,0,0.0,0,0.0
A3,roll_01,persistence,3,167,40,0.23952095808383234,6,0.03592814371257485
A3,roll_01,persistence,4,167,27,0.16167664670658682,3,0.017964071856287425
A3,roll_01,persistence,5,167,11,0.0658682634730539,1,0.005988023952095809
A3,roll_01,persistence,6,167,5,0.029940119760479042,0,0.0
A3,roll_01,persistence,7,167,1,0.005988023952095809,0,0.0
A3,roll_01,persistence,8,167,0,0.0,0,0.0
A3,roll_01,persistence,9,167,0,0.0,0,0.0
A3,roll_01,persistence,10,167,0,0.0,0,0.0
A3,roll_01,persistence,11,167,0,0.0,0,0.0
A3,roll_01,persistence,12,167,0,0.0,0,0.0
A3,roll_01,persistence,13,167,0,0.0,0,0.0
A3,roll_01,persistence,14,167,0,0.0,0,0.0
A3,roll_01,persistence,15,167,0,0.0,0,0.0
A3,roll_01,rf,3,167,4,0.023952095808383235,8,0.04790419161676647
A3,roll_01,rf,4,167,0,0.0,4,0.023952095808383235
A3,roll_01,rf,5,167,0,0.0,3,0.017964071856287425
A3,roll_01,rf,6,167,0,0.0,0,0.0
A3,roll_01,rf,7,167,0,0.0,0,0.0
A3,roll_01,rf,8,167,0,0.0,0,0.0
A3,roll_01,rf,9,167,0,0.0,0,0.0
A3,roll_01,rf,10,167,0,0.0,0,0.0
A3,roll_01,rf,11,167,0,0.0,0,0.0
A3,roll_01,rf,12,167,0,0.0,0,0.0
A3,roll_01,rf,13,167,0,0.0,0,0.0
A3,roll_01,rf,14,167,0,0.0,0,0.0
A3,roll_01,rf,15,167,0,0.0,0,0.0
