dataset_id,split_id,model_name,segment,n,mae,rmse,source_file
A1,roll_01,mlr,all,167,468.36774158922765,602.0172074278111,preds_A1_roll_01.csv
A1,roll_01,mlr,night,104,438.92336637553404,550.8516755052813,preds_A1_roll_01.csv
A1,roll_01,mlr,day,63,516.9743292435791,678.0857837548565,preds_A1_roll_01.csv
A1,roll_01,persistence,all,167,464.1098865162338,662.8558903706465,preds_A1_roll_01.csv
A1,roll_01,persistence,night,104,388.88039874500294,571.1368947815705,preds_A1_roll_01.csv
A1,roll_01,persistence,day,63,588.2982472814404,791.3379254815911,preds_A1_roll_01.csv
A1,roll_01,rf,all,167,397.59203162827356,544.2824588649537,preds_A1_roll_01.csv
A1,roll_01,rf,night,104,353.8718101465593,489.5214800800577,preds_A1_roll_01.csv
A1,roll_01,rf,day,63,469.76509566157927,624.2582125741254,preds_A1_roll_01.csv
A1,roll_02,mlr,all,167,457.75121268811677,627.6310057173204,preds_A1_roll_02.csv
A1,roll_02,mlr,night,104,382.46318989736,490.11374609702614,preds_A1_roll_02.csv
A1,roll_02,mlr,day,63,582.0362026919056,804.7750262544806,preds_A1_roll_02.csv
A1,roll_02,persistence,all,167,448.9457162149462,690.7010939146944,preds_A1_roll_02.csv
A1,roll_02,persistence,night,104,342.2493530620492,533.0649839138016,preds_A1_roll_02.csv
A1,roll_02,persistence,day,63,625.079395070522,891.9204834453851,preds_A1_roll_02.csv
A1,roll_02,rf,all,167,391.2980743740105,572.4313139687015,preds_A1_roll_02.csv
A1,roll_02,rf,night,104,272.3981002768008,397.73847632660494,preds_A1_roll_02.csv
A1,roll_02,rf,day,63,587.577396693214,779.3952437946209,preds_A1_roll_02.csv
A1,roll_03,mlr,all,167,484.4269587463432,616.2173589142807,preds_A1_roll_03.csv
A1,roll_03,mlr,night,104,437.129610600617,559.8280887178012,preds_A1_roll_03.csv
A1,roll_03,mlr,day,63,562.5051207646846,699.4272184352142,preds_A1_roll_03.csv
A1,roll_03,persistence,all,167,451.6067950740062,635.4412020496833,preds_A1_roll_03.csv
A1,roll_03,persistence,night,104,399.2904136970634,610.7277321046823,preds_A1_roll_03.csv
A1,roll_03,persistence,day,63,537.9703452835627,674.2590562815245,preds_A1_roll_03.csv
A1,roll_03,rf,all,167,396.92659426775606,566.0935047184483,preds_A1_roll_03.csv
A1,roll_03,rf,night,104,304.21553780359505,474.1611966887786,preds_A1_roll_03.csv
A1,roll_03,rf,day,63,549.9734176371646,691.6156671936092,preds_A1_roll_03.csv
A1,roll_04,mlr,all,167,386.00170021533313,520.439956029221,preds_A1_roll_04.csv
A1,roll_04,mlr,night,98,344.667792649065,425.26907174097244,preds_A1_roll_04.csv
A1,roll_04,mlr,day,69,444.70782980220673,631.418613488356,preds_A1_roll_04.csv
A1,roll_04,persistence,all,167,367.8780820544635,544.0314664782638,preds_A1_roll_04.csv
A1,roll_04,persistence,night,98,309.8077122337435,470.04071948194803,preds_A1_roll_04.csv
A1,roll_04,persistence,day,69,450.35483919113824,634.458324911539,preds_A1_roll_04.csv
A1,roll_04,rf,all,167,298.80576445564793,461.650780012064,preds_A1_roll_04.csv
A1,roll_04,rf,night,98,199.01472565511938,296.5531423968063,preds_A1_roll_04.csv
A1,roll_04,rf,day,69,440.53796449118124,625.2279796898732,preds_A1_roll_04.csv
A2,roll_01,mlr,all,167,468.3677415892283,602.0172074278133,preds_A2_roll_01.csv
A2,roll_01,mlr,night,104,438.9233663755325,550.8516755052801,preds_A2_roll_01.csv
A2,roll_01,mlr,day,63,516.9743292435832,678.0857837548635,preds_A2_roll_01.csv
