mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,mean_test_score,std_test_score,rank_test_score
5.600158055623372,0.44481290267696433,1.340637445449829,0.3764418194686212,5,0.3,2,2,"{'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 2, 'min_samples_split': 2}",-606.5085822873017,-601.0471794729929,-425.8867441163532,-430.6187409279953,-273.81532005409974,-291.88169943235886,-438.2930443818502,131.33125461456885,127
6.333012104034424,1.2288613188966155,1.2119577725728352,0.4054497046963587,5,0.3,2,5,"{'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 2, 'min_samples_split': 5}",-606.6643003296813,-601.778746530223,-426.2463387691828,-430.64945269979495,-273.9069239206245,-290.83807048080604,-438.3473054550521,131.68507287539123,129
6.594210704167684,0.9155114631404764,0.8333709637324015,0.08186306855252193,5,0.3,2,10,"{'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 2, 'min_samples_split': 10}",-609.1051688698682,-601.5252597438285,-426.1274725385931,-431.9585629099617,-273.80913439422557,-290.2385113226613,-438.79401829652306,132.27702014641656,131
5.5173343022664385,0.24938035193075103,0.877876361211141,0.10818010060038272,5,0.3,4,2,"{'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 4, 'min_samples_split': 2}",-608.8510427630491,-600.0240767220962,-426.19465326273377,-433.0693755044625,-274.37394273411417,-293.7073190039647,-439.3700683317367,131.14124662768054,133
7.44346817334493,1.6422024127261867,1.0438731114069622,0.25086335837118534,5,0.3,4,5,"{'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 4, 'min_samples_split': 5}",-608.8510427630491,-600.0240767220962,-426.1946532627337,-433.0693755044626,-274.3739427341141,-293.70731900396464,-439.3700683317367,131.14124662768057,133
6.779047171274821,1.0775249286886566,1.098406712214152,0.20031831829043623,5,0.3,4,10,"{'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 4, 'min_samples_split': 10}",-610.2608446486976,-600.1452399366542,-425.512257250045,-433.5572210741704,-273.94848842261547,-293.6107098546431,-439.5057935311376,131.58528318884106,137
7.207225203514099,0.9281578725930334,0.8410633405049642,0.11740524091548125,5,0.3,8,2,"{'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 8, 'min_samples_split': 2}",-618.6487717518194,-601.4195729351067,-425.73003739698487,-438.7995020109288,-272.99078861831526,-299.41973061900063,-442.8347338886927,132.7801502053598,139
7.613229870796204,1.0058618258424044,1.262204885482788,0.4485324671242859,5,0.3,8,5,"{'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 8, 'min_samples_split': 5}",-618.6487717518194,-601.4195729351067,-425.73003739698487,-438.7995020109288,-272.99078861831526,-299.41973061900063,-442.8347338886927,132.7801502053598,139
6.535411477088928,0.5343114895942896,0.7628865242004395,0.12484959085066286,5,0.3,8,10,"{'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 8, 'min_samples_split': 10}",-618.6487717518194,-601.4195729351067,-425.73003739698487,-438.7995020109288,-272.99078861831526,-299.41973061900063,-442.8347338886927,132.7801502053598,139
9.18612809975942,0.83073070302002,2.381542921066284,0.7446869747177857,5,0.5,2,2,"{'max_depth': 5, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 2}",-579.338020899705,-558.47660061256,-404.6916001746617,-380.9722002401923,-247.98173291997173,-274.5412092415756,-407.6668940147777,126.5950243094175,83
8.119650681813559,1.1711254516152014,1.3750795523325603,0.698556545875484,5,0.5,2,5,"{'max_depth': 5, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 5}",-578.9676304825933,-558.3939613618421,-404.6586206908139,-381.24759665898773,-247.85468877727342,-273.76298210327184,-407.4809133457971,126.6488657416316,77
9.873464783032736,1.4345001001279087,2.17048172156016,0.8605371522956486,5,0.5,2,10,"{'max_depth': 5, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 10}",-580.3753087795191,-558.9489525917978,-404.8535461663116,-381.2550676203099,-247.96951147083718,-273.1354941531797,-407.7563134636592,127.16253434256141,88
8.200228532155355,1.0064356602737765,2.2368427912394204,0.591353480868556,5,0.5,4,2,"{'max_depth': 5, 'max_features': 0.5, 'min_samples_leaf': 4, 'min_samples_split': 2}",-575.5751823845789,-558.265889055614,-404.544100374952,-382.1887960651617,-247.84206218587696,-273.22990412781377,-406.9409890323329,125.92739668593177,73
10.219642599423727,0.921814816280837,1.1121734380722046,0.5471312563761235,5,0.5,4,5,"{'max_depth': 5, 'max_features': 0.5, 'min_samples_leaf': 4, 'min_samples_split': 5}",-575.5751823845789,-558.2658890556141,-404.54410037495194,-382.18879606516174,-247.84206218587696,-273.22990412781377,-406.94098903233294,125.92739668593178,74
8.961008866628012,0.5157642430136273,1.9310944080352783,0.6717978809069206,5,0.5,4,10,"{'max_depth': 5, 'max_features': 0.5, 'min_samples_leaf': 4, 'min_samples_split': 10}",-576.6092597909434,-558.4363900069229,-404.58601859718794,-382.3070218665322,-247.8856712272163,-273.0947083273965,-407.1531783026998,126.20334628266771,76
8.298110405604044,0.6763338007615562,1.1127529939015706,0.3807265682746302,5,0.5,8,2,"{'max_depth': 5, 'max_features': 0.5, 'min_samples_leaf': 8, 'min_samples_split': 2}",-579.0342455120783,-560.0997137471443,-402.9492319958034,-389.44058907108894,-247.49180626682576,-274.592333207778,-408.93465330011986,126.696647157026,99
10.318103671073914,1.0288196129604457,1.8290193478266399,0.45899643272026713,5,0.5,8,5,"{'max_depth': 5, 'max_features': 0.5, 'min_samples_leaf': 8, 'min_samples_split': 5}",-579.0342455120783,-560.0997137471443,-402.9492319958034,-389.4405890710889,-247.49180626682576,-274.592333207778,-408.93465330011986,126.696647157026,99
8.651264111200968,0.8199759117604196,1.6895137627919514,0.5136258145175606,5,0.5,8,10,"{'max_depth': 5, 'max_features': 0.5, 'min_samples_leaf': 8, 'min_samples_split': 10}",-579.0342455120783,-560.0997137471443,-402.9492319958034,-389.44058907108894,-247.49180626682576,-274.592333207778,-408.93465330011986,126.696647157026,99
11.777372360229492,2.1398164530977475,2.285503625869751,1.5692138310894221,5,0.7,2,2,"{'max_depth': 5, 'max_features': 0.7, 'min_samples_leaf': 2, 'min_samples_split': 2}",-566.6370981761416,-551.4832414761999,-409.67757637913,-368.9941534527782,-245.46901846056733,-298.21519046058484,-406.7460464009003,119.53871743612501,68
12.829607685407003,1.0516768521953705,3.2332582473754883,1.1533165423807243,5,0.7,2,5,"{'max_depth': 5, 'max_features': 0.7, 'min_samples_leaf': 2, 'min_samples_split': 5}",-566.6108510157947,-551.2387790560304,-409.9927887921068,-369.05193983375585,-245.46962738877005,-298.272231906117,-406.77270299876244,119.47310718856004,69
13.948596795399984,1.2295846154797332,1.7650590737660725,0.7498196154820576,5,0.7,2,10,"{'max_depth': 5, 'max_features': 0.7, 'min_samples_leaf': 2, 'min_samples_split': 10}",-567.4877576537577,-551.1328354400425,-409.5053266712855,-369.3186829191553,-245.55953346113105,-298.51737141597533,-406.92025126022463,119.5743978373665,72
12.970544536908468,1.345282174517681,2.9640634059906006,1.3466781363397042,5,0.7,4,2,"{'max_depth': 5, 'max_features': 0.7, 'min_samples_leaf': 4, 'min_samples_split': 2}",-560.6404604022301,-552.0231666749235,-409.82343983072803,-369.8288542194468,-245.39299022737544,-298.9293373310951,-406.1063747809665,118.19339954590076,61
11.933973670005798,2.011902547261097,3.07279904683431,0.9972847897679933,5,0.7,4,5,"{'max_depth': 5, 'max_features': 0.7, 'min_samples_leaf': 4, 'min_samples_split': 5}",-560.6404604022301,-552.0231666749235,-409.823439830728,-369.82885421944684,-245.39299022737544,-298.9293373310951,-406.1063747809665,118.19339954590076,61
14.206639846165976,1.394963302124828,2.1918617486953735,1.1138472691709198,5,0.7,4,10,"{'max_depth': 5, 'max_features': 0.7, 'min_samples_leaf': 4, 'min_samples_split': 10}",-561.1866209687057,-552.1300900628722,-409.466168463696,-369.9897167760926,-245.45352116014593,-298.92177576325406,-406.19131553246115,118.31197722893867,63
11.904282967249552,1.5157799312279636,3.3031755288441977,0.8466562490055838,5,0.7,8,2,"{'max_depth': 5, 'max_features': 0.7, 'min_samples_leaf': 8, 'min_samples_split': 2}",-562.1553943734316,-554.9284293415849,-409.2560822735226,-377.1521042102823,-244.90448815507852,-299.89883251972947,-408.0492218122716,118.73711385407827,93
12.243623654047648,1.395388026883359,2.4424644708633423,0.9329817704055604,5,0.7,8,5,"{'max_depth': 5, 'max_features': 0.7, 'min_samples_leaf': 8, 'min_samples_split': 5}",-562.1553943734316,-554.9284293415849,-409.25608227352257,-377.1521042102823,-244.90448815507847,-299.89883251972947,-408.0492218122716,118.73711385407827,93
12.78376809755961,1.250219873468796,1.6028095881144206,0.8009772337241277,5,0.7,8,10,"{'max_depth': 5, 'max_features': 0.7, 'min_samples_leaf': 8, 'min_samples_split': 10}",-562.1553943734316,-554.9284293415849,-409.25608227352257,-377.1521042102823,-244.90448815507847,-299.89883251972947,-408.0492218122716,118.73711385407827,93
9.79937251408895,0.30203286319232375,1.210810383160909,0.3978756110803426,5,sqrt,2,2,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2}",-606.5085822873017,-601.0471794729928,-425.8867441163532,-430.6187409279953,-273.81532005409974,-291.88169943235886,-438.2930443818502,131.3312546145688,127
10.30077346165975,0.9688404102172015,1.0988199313481648,0.21282344854880453,5,sqrt,2,5,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5}",-606.6643003296813,-601.778746530223,-426.2463387691828,-430.649452699795,-273.9069239206245,-290.83807048080604,-438.3473054550521,131.68507287539123,129
7.848812858263652,1.427267631115925,1.0389958620071411,0.15130283391083954,5,sqrt,2,10,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10}",-609.1051688698682,-601.5252597438285,-426.12747253859317,-431.9585629099617,-273.8091343942255,-290.2385113226613,-438.79401829652306,132.2770201464166,131
8.105389515558878,1.1073847708727882,1.0013564427693684,0.21255176465395545,5,sqrt,4,2,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2}",-608.8510427630491,-600.0240767220962,-426.1946532627337,-433.0693755044626,-274.3739427341141,-293.7073190039647,-439.3700683317367,131.14124662768057,133
8.63812005519867,0.8583630539736898,1.2975493272145588,0.2981027050763566,5,sqrt,4,5,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5}",-608.8510427630491,-600.0240767220962,-426.19465326273377,-433.0693755044626,-274.37394273411417,-293.7073190039647,-439.3700683317367,131.14124662768054,133
7.564875801404317,0.7470797499110411,0.8591144482294718,0.09341138810192709,5,sqrt,4,10,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10}",-610.2608446486976,-600.1452399366542,-425.512257250045,-433.5572210741704,-273.9484884226155,-293.6107098546431,-439.5057935311376,131.58528318884106,137
8.575776894887289,1.323115964621992,1.2619646787643433,0.10556621597319127,5,sqrt,8,2,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 8, 'min_samples_split': 2}",-618.6487717518194,-601.4195729351067,-425.73003739698487,-438.7995020109288,-272.99078861831526,-299.41973061900063,-442.8347338886927,132.7801502053598,139
