iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,mean_train_score,std_train_score
0,200,0.5774945815404257,0.23784623644214023,0.3577514886856079,0.14937229786639697,True,10,sqrt,1,2,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-619.7242162333629,-606.8323147025136,-402.8463649369438,-465.6012124140947,-262.4199527337326,-364.7224781428573,-453.6910898605842,127.96245063805782,2348,-293.3389656394231,-303.7414114819915,-314.9699358303576,-301.02290676336844,-292.41233316129905,-279.97873895436317,-297.57738197180043,10.852971704340137
0,200,0.7049971024195353,0.27137916666942546,0.275940736134847,0.14516057330796941,True,10,sqrt,1,5,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-623.1385725173276,-604.929415757118,-400.62346210678174,-444.6240486349565,-265.7648284093007,-354.01366181601594,-448.84899820691675,128.83779158683606,2265,-312.71032083490496,-321.54996957433514,-330.6076995867412,-315.0795537526004,-306.9433131096708,-291.09249339312095,-312.99722504189555,12.275746941993713
0,200,0.7408636411031088,0.16415374559580692,0.33672142028808594,0.18400470630435967,True,10,sqrt,1,10,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",-626.6178224689671,-614.4134655489477,-396.58269085383426,-461.00511251073186,-263.3201961181284,-338.6990448979516,-450.1063887330935,134.4354542509233,2293,-352.8298419232868,-351.84904009943745,-359.56629673780577,-340.3675804766374,-326.30108409427226,-310.07895071125864,-340.16546567378305,17.1791777679141
0,200,0.7660914659500122,0.16505200370357065,0.30583592255910236,0.11424716025177638,True,10,sqrt,1,20,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 20, 'n_estimators': 200}",-635.5891596298657,-609.4220575140936,-400.5801106448687,-468.85834633114723,-263.2533953581195,-334.44088558886705,-452.02399251116026,135.9290962714326,2340,-398.86019142193226,-393.16058408487913,-395.5534337139502,-373.8775318861792,-354.14429584846954,-333.9811427543017,-374.92952995161863,23.945411426577234
0,200,0.7768067121505737,0.22524184113404352,0.19788010915120444,0.05167116461914537,True,10,sqrt,1,40,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 40, 'n_estimators': 200}",-634.874880850341,-618.6462789276635,-409.90659844175167,-475.5914803978315,-261.58128650712223,-343.43099049264765,-457.33858593622625,136.27064369816148,2381,-457.62910247351647,-442.1576857150386,-441.1383061599341,-411.942263623927,-386.13381194401563,-361.74750574522125,-416.7914459436088,33.904695735683994
0,200,0.6096721490224203,0.14480506850970193,0.3208746910095215,0.12970666494972477,True,10,sqrt,1,80,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 80, 'n_estimators': 200}",-658.4035198717024,-633.8021615734789,-418.0993306323705,-490.91066888136186,-259.4866743637963,-385.10383459810294,-474.3010316534688,139.5649167476798,2559,-529.1003320774747,-498.0351310307598,-489.863845530616,-454.85282272259917,-424.70015775794434,-397.2504455050797,-465.63378910407897,44.96854041652414
0,200,0.6132139762242635,0.19483033391934443,0.3128487269083659,0.11972900511416805,True,10,sqrt,2,2,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-613.7088300721957,-606.2359865042399,-401.050896231963,-455.65796203596886,-262.82250353130604,-330.7669986393224,-445.04052950249934,130.85783477290946,2191,-320.2632147074694,-328.25072537960017,-339.54517522709443,-320.52171710690044,-309.9104364435819,-296.1342435238089,-319.1042520647425,13.6442249897653
0,200,0.8185170888900757,0.1596289692512492,0.24486645062764487,0.1282360429416779,True,10,sqrt,2,5,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-612.7775679199609,-603.7804081551743,-396.1663091899515,-448.85963520718235,-261.10601623658886,-351.84488276349765,-445.7558032453926,127.96588227178273,2218,-328.2850995947581,-333.3646872532179,-344.2758458188208,-326.9182051421259,-314.69837708401093,-298.8984654258277,-324.40678005312685,14.383437799471485
0,200,0.5815895795822144,0.14094386516851612,0.3145600159962972,0.10299616845401312,True,10,sqrt,2,10,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",-614.5599747601715,-603.4121222847998,-402.23024366984384,-469.05965186776206,-261.2472448119417,-352.26612925047084,-450.46256110749823,128.08767362777806,2297,-365.2175847839161,-360.3254173478749,-368.9716566664136,-348.8937713559347,-334.223779100627,-315.5933418602129,-348.8709251858299,18.816637315342017
0,200,0.751816471417745,0.1844417182410784,0.1794812281926473,0.09715422986265511,True,10,sqrt,2,20,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 200}",-629.138025506918,-613.9314061385552,-393.8378635577188,-461.89281990315055,-258.65449727978915,-335.6773911805962,-448.855333927788,136.586030015344,2269,-408.85560289193427,-400.6470064520756,-401.5256846481293,-377.87347424681104,-359.74940422959077,-338.9048475637798,-381.25933667205345,25.21971621149466
