dataset,method,train_csv,cv_RMSE_mean,cv_MAE_mean,n_features
A1,rf,A1_causal_demand_keep-imputed_demand-only_168_READY.csv,418.8407956667792,303.99007922408845,13
A1,target_transform_rf,A1_causal_demand_keep-imputed_demand-only_168_READY.csv,496.8351870223608,339.9020377982183,13
A1,regime_switch,A1_causal_demand_keep-imputed_demand-only_168_READY.csv,458.51120198473006,351.20906015613286,13
A2,rf,A2_causal-fill_clean_demand-only_168_READY.csv,431.08733643017115,309.62807116907834,12
A2,target_transform_rf,A2_causal-fill_clean_demand-only_168_READY.csv,513.9482061487364,349.42367166478755,12
A2,regime_switch,A2_causal-fill_clean_demand-only_168_READY.csv,452.04075059748664,321.1773666470024,12
B1,rf,B1_interpolation_keep-imputed_demand-only_168_READY.csv,416.52706711250886,301.4205254397956,13
B1,target_transform_rf,B1_interpolation_keep-imputed_demand-only_168_READY.csv,496.14289107177046,338.7174862010924,13
B1,regime_switch,B1_interpolation_keep-imputed_demand-only_168_READY.csv,457.6060004885696,349.48771910098884,13
B2,rf,B2_interpolation_clean_demand-only_168_READY.csv,431.08733643017115,309.62807116907834,12
B2,target_transform_rf,B2_interpolation_clean_demand-only_168_READY.csv,513.9482061487365,349.42367166478755,12
B2,regime_switch,B2_interpolation_clean_demand-only_168_READY.csv,452.04075059748664,321.1773666470024,12
A3,rf,A3_causal-fill_keep-imputed_telemetry_168_READY.csv,441.0283343459845,333.8149027963035,19
A3,target_transform_rf,A3_causal-fill_keep-imputed_telemetry_168_READY.csv,517.3847278960397,351.033551058384,19
A3,regime_switch,A3_causal-fill_keep-imputed_telemetry_168_READY.csv,484.3769424802069,378.400446376224,19
A3,telemetry_lags_rf,A3_causal-fill_keep-imputed_telemetry_168_LAGS_READY.csv,468.5670483855467,365.69536053087904,28
A4,rf,A4_causal-fill_clean-only_demand_telemetry_168_READY.csv,393.48668958094265,251.6305385815387,15
A4,target_transform_rf,A4_causal-fill_clean-only_demand_telemetry_168_READY.csv,524.4547100119746,335.50532525754954,15
A4,regime_switch,A4_causal-fill_clean-only_demand_telemetry_168_READY.csv,403.6376698255986,260.2065922051146,15
A4,telemetry_lags_rf,A4_causal-fill_clean-only_demand_telemetry_168_LAGS_READY.csv,410.3790058120588,262.224292743969,24
B3,rf,B3_interpolation_keep-imputed_telemetry_168_READY.csv,438.2204220203197,329.92881144479185,19
B3,target_transform_rf,B3_interpolation_keep-imputed_telemetry_168_READY.csv,516.4755268029296,352.3773155593241,19
B3,regime_switch,B3_interpolation_keep-imputed_telemetry_168_READY.csv,484.58097685475093,378.1399081920444,19
B3,telemetry_lags_rf,B3_interpolation_keep-imputed_telemetry_168_LAGS_READY.csv,464.594453111242,362.80497988605924,28
B4,rf,B4_interpolation_clean-only_demand_telemetry_168_READY.csv,393.48668958094265,251.6305385815387,15
B4,target_transform_rf,B4_interpolation_clean-only_demand_telemetry_168_READY.csv,524.4547100119744,335.50532525754954,15
B4,regime_switch,B4_interpolation_clean-only_demand_telemetry_168_READY.csv,403.6376698255986,260.20659220511453,15
B4,telemetry_lags_rf,B4_interpolation_clean-only_demand_telemetry_168_LAGS_READY.csv,410.3790058120588,262.224292743969,24
