datasetid,splitid,modelname,source,nrows_overall,mae_overall,rmse_overall,mape_overall,mae_dn_day,mae_dn_night,mape_dn_day,mape_dn_night,nrows_dn_day,nrows_dn_night,rmse_dn_day,rmse_dn_night
A1,roll_01,mlr,native,167,468.3677415892277,602.0172074278111,50.67097766965289,516.9743292435791,438.9233663755341,53.98465773692944,48.663652244283455,63,104,678.0857837548565,550.8516755052813
A1,roll_01,persistence,native,167,464.1098865162338,662.8558903706465,42.03532246680279,588.2982472814404,388.8803987450029,58.39777196399901,32.12345402138584,63,104,791.3379254815911,571.1368947815705
A1,roll_01,rf,native,167,397.5920316282736,544.2824588649537,39.23614713501671,469.76509566157927,353.8718101465593,50.862587367519374,32.19320737878912,63,104,624.2582125741254,489.5214800800577
A1,roll_02,mlr,native,167,457.7512126881168,627.6310057173204,81.95185852094103,582.0362026919056,382.46318989736,133.86379274394022,50.50520605893188,63,104,804.7750262544806,490.1137460970261
A1,roll_02,persistence,native,167,448.9457162149462,690.7010939146944,69.05619842777008,625.079395070522,342.2493530620492,129.65683579995323,32.3461969426976,63,104,891.9204834453851,533.0649839138016
A1,roll_02,rf,native,167,391.2980743740105,572.4313139687015,70.59896466704711,587.577396693214,272.3981002768008,138.67782811025938,29.358883927408964,63,104,779.3952437946209,397.73847632660494
A1,roll_03,mlr,native,167,484.4269587463432,616.2173589142807,81.27241204324217,562.5051207646846,437.129610600617,134.13215264353576,49.25160764114123,63,104,699.4272184352142,559.8280887178012
A1,roll_03,persistence,native,167,451.6067950740062,635.4412020496833,74.02747971675704,537.9703452835627,399.2904136970634,137.4864105768242,35.58601198421636,63,104,674.2590562815245,610.7277321046823
A1,roll_03,rf,native,167,396.92659426775606,566.0935047184483,75.04912793623106,549.9734176371646,304.21553780359505,150.61882750977244,29.271329156105047,63,104,691.6156671936092,474.1611966887786
A1,roll_04,mlr,native,167,386.00170021533313,520.439956029221,51.72117957486887,444.70782980220673,344.667792649065,68.51369705630071,39.89787645018726,69,98,631.418613488356,425.2690717409725
A1,roll_04,persistence,native,167,367.8780820544635,544.0314664782638,44.47998187807959,450.35483919113824,309.8077122337435,64.31388555585052,30.51529459475107,69,98,634.458324911539,470.040719481948
A1,roll_04,rf,native,167,298.80576445564793,461.650780012064,40.29710139059003,440.5379644911813,199.01472565511935,64.987646908024,22.912941791580398,69,98,625.2279796898732,296.5531423968063
A2,roll_01,mlr,native,167,468.3677415892283,602.0172074278133,50.670977669652906,516.9743292435832,438.9233663755325,53.9846577369298,48.66365224428325,63,104,678.0857837548635,550.8516755052801
A2,roll_01,persistence,native,167,464.1098865162338,662.8558903706465,42.03532246680279,588.2982472814404,388.8803987450029,58.39777196399901,32.12345402138584,63,104,791.3379254815911,571.1368947815705
A2,roll_01,rf,native,167,408.9487260367957,551.6167240285712,41.2207809348949,485.1548644449308,362.7853921934062,52.11000985880221,34.624421105989505,63,104,629.5103362811603,498.546764149163
A2,roll_02,mlr,native,167,457.7512126881177,627.6310057173205,81.95185852094107,582.0362026919051,382.463189897362,133.86379274394017,50.505206058932096,63,104,804.7750262544789,490.1137460970277
A2,roll_02,persistence,native,167,448.9457162149462,690.7010939146944,69.05619842777008,625.079395070522,342.2493530620492,129.65683579995323,32.3461969426976,63,104,891.9204834453851,533.0649839138016
A2,roll_02,rf,native,167,399.37956899550113,579.0594859009941,71.06259870785271,593.0445967069707,282.06325413182253,134.3095267092146,32.749555783950804,63,104,795.5062097639159,393.8036063105873
A2,roll_03,mlr,native,167,484.42695874634313,616.2173589142806,81.27241204324217,562.505120764685,437.12961060061696,134.13215264353593,49.25160764114117,63,104,699.4272184352144,559.828088717801
A2,roll_03,persistence,native,167,451.6067950740062,635.4412020496833,74.02747971675704,537.9703452835627,399.2904136970634,137.4864105768242,35.58601198421636,63,104,674.2590562815245,610.7277321046823
A2,roll_03,rf,native,167,399.3874352852956,570.4780182610796,64.96359087607877,547.6638644049647,309.56613687626526,121.13232511731682,30.93829994148268,63,104,697.5747682268301,477.3008864808757
